iter	Logloss	Accuracy
535	0.2302732474	0.9233817701
536	0.2301067733	0.9247027741
537	0.2297442288	0.9260237781
538	0.2294671097	0.9247027741
539	0.2292558457	0.9247027741
540	0.2290736713	0.9247027741
541	0.2289833781	0.9247027741
542	0.2289219976	0.9247027741
543	0.2287335623	0.9247027741
544	0.2284799366	0.9233817701
545	0.2283097408	0.9233817701
546	0.2276100081	0.927344782
547	0.2273881811	0.927344782
548	0.2271123402	0.927344782
549	0.2268087904	0.927344782
550	0.2263671227	0.927344782
551	0.2259946612	0.9260237781
552	0.2257906304	0.9260237781
553	0.2256605744	0.9260237781
554	0.2255290057	0.9260237781
555	0.2251964593	0.927344782
556	0.2250888177	0.927344782
557	0.224761394	0.927344782
558	0.2238495798	0.9260237781
559	0.2236090969	0.9260237781
560	0.2234273113	0.9260237781
561	0.2233468674	0.9260237781
562	0.2228701853	0.927344782
563	0.2225983692	0.927344782
564	0.2224155222	0.927344782
565	0.2221909644	0.928665786
566	0.2220017907	0.928665786
567	0.2214899454	0.92998679
568	0.2212120686	0.92998679
569	0.2208458894	0.9313077939
570	0.2207082904	0.9313077939
571	0.2204730008	0.92998679
572	0.220261452	0.92998679
573	0.2202045787	0.92998679
574	0.2197111035	0.9313077939
575	0.2195497834	0.9326287979
576	0.2191127207	0.9326287979
577	0.2189591994	0.9313077939
578	0.2186106995	0.9326287979
579	0.2183351747	0.9326287979
580	0.218011787	0.9326287979
581	0.2178105253	0.9326287979
582	0.2177519606	0.9326287979
583	0.2175629493	0.9313077939
584	0.2175116815	0.9313077939
585	0.2170797041	0.9313077939
586	0.2166695941	0.9326287979
587	0.2164403379	0.9326287979
588	0.2162133872	0.9326287979
589	0.2158990479	0.9326287979
590	0.2155307712	0.9326287979
591	0.2153739794	0.9339498018
592	0.2151968924	0.9339498018
593	0.2151603668	0.9339498018
594	0.2151382258	0.9339498018
595	0.2149347148	0.9339498018
596	0.214619344	0.9339498018
597	0.2144723203	0.9339498018
598	0.2144278991	0.9339498018
599	0.2142691217	0.9339498018
600	0.2139828112	0.9339498018
601	0.213812154	0.9339498018
602	0.2136265078	0.9339498018
603	0.2134944448	0.9339498018
604	0.2134640408	0.9339498018
605	0.2134184881	0.9339498018
606	0.2133016145	0.9339498018
607	0.2130853751	0.9339498018
608	0.213033768	0.9339498018
609	0.2129060326	0.9339498018
610	0.2125638483	0.9339498018
611	0.2124072775	0.9339498018
612	0.212122741	0.9339498018
613	0.2120380311	0.9352708058
614	0.211857364	0.9352708058
615	0.2117080287	0.9352708058
616	0.211392366	0.9352708058
617	0.2113566546	0.9352708058
618	0.2111804773	0.9352708058
619	0.2109264864	0.9352708058
620	0.2107832712	0.9365918098
621	0.2106246073	0.9365918098
622	0.2103728634	0.9352708058
623	0.2102289891	0.9352708058
624	0.2100562714	0.9352708058
625	0.2100233793	0.9352708058
626	0.2099387918	0.9352708058
627	0.209872179	0.9352708058
628	0.2097638415	0.9352708058
629	0.2095392122	0.9352708058
630	0.2093509712	0.9352708058
631	0.2090427151	0.9352708058
632	0.2088780796	0.9352708058
633	0.2085769965	0.9365918098
634	0.2085331395	0.9365918098
635	0.2084710845	0.9365918098
636	0.2084040737	0.9365918098
637	0.2082506966	0.9365918098
638	0.208141042	0.9365918098
639	0.2081022284	0.9365918098
640	0.207977234	0.9379128137
641	0.2078585095	0.9379128137
642	0.2076280194	0.9379128137
643	0.2075710942	0.9379128137
644	0.2070883705	0.9379128137
645	0.2066960557	0.9392338177
646	0.2065288933	0.9392338177
647	0.2062359357	0.9392338177
648	0.2060517722	0.9405548217
649	0.205927921	0.9405548217
650	0.2055774601	0.9405548217
651	0.2053138083	0.9405548217
652	0.2050375346	0.9392338177
653	0.204877583	0.9405548217
654	0.2046097306	0.9405548217
655	0.2044471525	0.9405548217
656	0.2043594264	0.9405548217
657	0.2041956762	0.9405548217
658	0.2039933435	0.9418758256
659	0.203739917	0.9418758256
660	0.2036592025	0.9418758256
661	0.2034054813	0.9418758256
662	0.2032489464	0.9418758256
663	0.2030951935	0.9418758256
664	0.2026658067	0.9418758256
665	0.2025185925	0.9418758256
666	0.2022534847	0.9418758256
667	0.2021259889	0.9418758256
668	0.2020574094	0.9418758256
669	0.2020304305	0.9418758256
670	0.2018144069	0.9418758256
671	0.2016463152	0.9418758256
672	0.2014077488	0.9418758256
673	0.2012557479	0.9418758256
674	0.2011812154	0.9418758256
675	0.200910652	0.9418758256
676	0.2008746198	0.9418758256
677	0.2007666819	0.9418758256
678	0.2005468382	0.9418758256
679	0.2003896828	0.9418758256
680	0.2002156859	0.9418758256
681	0.200014932	0.9418758256
682	0.1999755856	0.9418758256
683	0.1995543297	0.9418758256
684	0.1993630289	0.9431968296
685	0.1992524788	0.9431968296
686	0.1991816549	0.9431968296
687	0.1990067668	0.9431968296
